도로명주소,지역,위도,경도,인기점수,
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,제주시,33.377865,126.21586,109400
1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,서귀포시,33.339912,126.43682,109267
도두봉,제주특별자치도 제주시 도두항길 4-17,제주시,33.5071377,126.4684832,108958
이호테우해수욕장,제주특별자치도 제주시 도리로 20,제주시,33.4961851,126.4559518,108670
약천사,제주특별자치도 서귀포시 이어도로 293-28,서귀포시,33.245766,126.44933,108092
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930,제주시,33.4424906,126.7773313,107813
붉은오름 자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,서귀포시,33.395905,126.669785,107239
용연,제주특별자치도 제주시 흥운길 73,제주시,33.5152024,126.514026,106572
원앙폭포,제주특별자치도 서귀포시 돈내코로 137,서귀포시,33.30053,126.58174,104438
제주빅볼랜드,제주특별자치도 제주시 구좌읍 송당리 산164-4,제주시,33.443204,126.7749339,103970
제주항공우주박물관,제주특별자치도 서귀포시 안덕면 녹차분재로 218 항곡우주박물관,서귀포시,33.30413,126.299675,102617
돈내코,제주특별자치도 서귀포시 돈내코로 128-1,서귀포시,33.3011703,126.5847327,101769
금악오름(왕매),제주특별자치도 제주시 한림읍 금악리 산 1-1,제주시,33.3529941,126.3139406,101260
닭머르해안길,제주특별자치도 제주시 조천읍 신촌북3길 62-1,제주시,33.537785,126.61332,99188
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,서귀포시,33.3835243,126.8413634,99152
제주라프 짚라인,제주특별자치도 제주시 조천읍 선교로 117,제주시,33.487106,126.706276,98318
이호테우해수욕장_old,제주특별자치도 제주시 도리로 20,제주시,33.496185,126.455956,98164
제주월드컵경기장,제주특별자치도 서귀포시 월드컵로 33,서귀포시,33.2472388,126.5092079,97672
사계해변,제주특별자치도 서귀포시 안덕면 사계리 2147-35,서귀포시,33.22811456,126.3084815,97539
이니스프리제주하우스,제주특별자치도 서귀포시 안덕면 신화역사로 23,서귀포시,33.3063942,126.2905203,97433
물영아리오름,제주특별자치도 서귀포시 남원읍 남조로 988-11,서귀포시,33.361296,126.6926145,97287
"더럭초등학교(구, 더럭분교)",제주특별자치도 제주시 애월읍 하가로 195,제주시,33.453457,126.345276,97147
우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산등용로 130-21,서귀포시,33.47211,126.9332,97083
"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 산 3-1,서귀포시,33.25161659,126.3681888,96948
위미리 동백나무군락,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7,서귀포시,33.27326,126.675934,95685
너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,제주시,33.545986,126.68877,95381
제주베니스랜드,제주특별자치도 서귀포시 성산읍 난산리 2575,서귀포시,33.416195,126.840904,94323
차귀도,제주특별자치도 제주시 한경면 고산리 125,제주시,33.313435,126.148796,93869
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25,서귀포시,33.2371317,126.358753,93510
케이제주씨워킹,제주특별자치도 서귀포시 대정읍 최남단해안로 120,서귀포시,33.2100551,126.2585746,92480
제주올레 1코스,제주특별자치도 서귀포시 성산읍 오조리 396-1,서귀포시,33.47192,126.91505,92133
항파두리항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,제주시,33.452126,126.407455,92049
아날로그감귤밭,제주특별자치도 제주시 해안마을8길 46,제주시,33.45559,126.451096,91229
제주현대미술관,제주특별자치도 제주시 한경면 저지14길 35,제주시,33.34026,126.2663,90564
우도산호해변 홍조단괴 서빈백사,제주특별자치도 제주시 우도면 우도해안길 252,제주시,33.50230479,126.9432341,90220
테디베어뮤지엄제주,제주특별자치도 서귀포시 중문관광로110번길 31,서귀포시,33.2499815,126.4121571,90216
수목원테마파크,제주특별자치도 제주시 은수길 69,제주시,33.4705937,126.4883601,89671
노리매공원,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,서귀포시,33.28257,126.287544,89445
한라산어리목코스,제주특별자치도 제주시 1100로 2070-61,제주시,33.39223,126.49457,88774
최남단체험감귤농장(가뫼물),제주특별자치도 서귀포시 남원읍 남위남성로 168,서귀포시,33.2899733,126.6935278,88741
렛츠런팜제주,제주특별자치도 제주시 조천읍 남조로 1660,제주시,33.41699,126.681465,87392
표선해수욕장,제주특별자치도 서귀포시 표선면 표선리,서귀포시,33.32723069,126.8381014,87314
추자도,제주특별자치도 제주시 추자면 추자도,제주시,33.947014,126.3201,86200
신비의도로카트체험장,제주특별자치도 제주시 노형동 187-3,제주시,33.461826,126.48475,84355
초콜릿박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,서귀포시,33.25704,126.23002,84033
제주목관아,제주특별자치도 제주시 관덕로 25,제주시,33.514103,126.52193,82143
따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 62,서귀포시,33.389156,126.75325,82016
브릭캠퍼스,제주특별자치도 제주시 1100로 3045,제주시,33.45853572,126.4852027,81800
머체왓숲길,제주특별자치도 서귀포시 남원읍 서성로 755,서귀포시,33.3301649,126.6789687,81618
북촌돌하르방미술관,제주특별자치도 제주시 조천읍 북촌서1길 70,제주시,33.5387743,126.6887213,81050
검멀레해변,제주특별자치도 제주시 우도면 우도해안길,제주시,33.49698481,126.9686027,80560
건강과성박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,서귀포시,33.2550314,126.3452068,79096
제주별빛누리공원,제주특별자치도 제주시 선돌목동길 60,제주시,33.4445482,126.5492536,78875
곶자왈,제주특별자치도 서귀포시 대정읍 신평리,서귀포시,33.28449,126.27018,78870
김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,제주시,33.5011366,126.7742249,77494
국립제주박물관,제주특별자치도 제주시 일주동로 17,제주시,33.5139974,126.5489702,77404
넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3198-8,제주시,33.4862871,126.428576,77369
협재굴(한림공원),제주특별자치도 제주시 한림읍 한림로 300,제주시,33.3894949,126.2396825,77283
한담해변,제주특별자치도 제주시 애월읍 애월로1길 26-4,제주시,33.46004182,126.3105424,75833
쉼한모금,제주특별자치도 서귀포시 산록남로 1258,서귀포시,33.290375,126.42282,75764
서우봉,제주특별자치도 제주시 조천읍 함덕리 169-1,제주시,33.5344076,126.6342455,75757
더마파크,제주특별자치도 제주시 한림읍 월림7길 155,제주시,33.353992,126.24263,75743
퍼시픽 마리나 요트투어,제주특별자치도 서귀포시 중문관광로 154-17,서귀포시,33.2439248,126.4163378,75001
산방산 용머리해안 지질트레일,제주특별자치도 서귀포시 안덕면 사계북로41번길 192,서귀포시,33.235634,126.30946,74096
동굴의 다원 다희연,제주특별자치도 제주시 조천읍 선교로 266,제주시,33.4793016,126.700604,74040
엉또폭포,제주특별자치도 서귀포시 염돈로 121-8 (강정동),서귀포시,33.26835518,126.4999688,74028
다이나믹메이즈,제주특별자치도 서귀포시 표선면 번영로 2644,서귀포시,33.399128,126.785194,74020
삼양해수욕장,제주특별자치도 제주시 삼양동,제주시,33.525845,126.5863,73944
세계자동차 & 피아노박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1610,서귀포시,33.283195,126.34977,73647
제주올레 10코스,제주특별자치도 서귀포시 대정읍 상모리 산 2-27,서귀포시,33.201736,126.28757,73467
구엄리돌염전,제주특별자치도 제주시 애월읍 애월해안로 708,제주시,33.482887,126.37733,73035
소천지,제주특별자치도 서귀포시 칠십리로485번길 2,서귀포시,33.2412706,126.5980115,72934
서귀포예술의전당,제주특별자치도 서귀포시 태평로 270,서귀포시,33.24523,126.55175,72566
김영갑갤러리 두모악,제주특별자치도 서귀포시 성산읍 삼달로 137,서귀포시,33.372063,126.85418,71840
신창~차귀해안도로,제주특별자치도 제주시 한경면 한경해안로 470,제주시,33.33567,126.16328,71727
제주올레 8코스,제주특별자치도 서귀포시 예래해안로 256,서귀포시,33.23657,126.38887,71597
동백포레스트,서귀포시 남원읍 신례리 1767,남원읍,33.299995,126.6297939,71584
제주불빛정원 테마파크,제주특별자치도 제주시 애월읍 평화로 2346,제주시,33.4222395,126.4092532,71299
아르떼뮤지엄,제주특별자치도 제주시 애월읍 어림비로 478,제주시,33.3973766,126.3457218,70666
비체올린,제주시 한경면 판조로 253-6,한경면,33.35901,126.21184,70169
누웨마루거리(구 바오젠),제주특별자치도 제주시 신광로 47,제주시,33.48774,126.49034,69616
도순다원,제주특별자치도 서귀포시 중산간서로356번길 152-41,서귀포시,33.273037,126.48306,68720
이중섭미술관,제주특별자치도 서귀포시 이중섭로 27-3,서귀포시,33.2459155,126.5649489,68610
플레이케이팝,제주특별자치도 서귀포시 중문관광로110번길 15,서귀포시,33.24992,126.41335,68321
삼성혈,제주특별자치도 제주시 삼성로 22,제주시,33.504166,126.5288,68316
제주바다체험장,제주특별자치도 제주시 구좌읍 일주동로 1921,제주시,33.5553334,126.7372024,67966
혼인지,제주특별자치도 서귀포시 성산읍 혼인지로 39-22,서귀포시,33.414932,126.894104,67963
사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,서귀포시,33.371944,126.570915,67948
상효원,제주특별자치도 서귀포시 산록남로 2847-37,서귀포시,33.307217,126.58609,67367
서귀포칠십리시공원,제주특별자치도 서귀포시 서홍동 576-9,서귀포시,33.24609,126.5538,67327
루나폴,제주특별자치도 서귀포시 안덕면 일주서로 1836,서귀포시,33.2574551,126.3225226,67170
종달리수국길,제주특별자치도 제주시 구좌읍 해맞이해안로 2121,제주시,33.50903,126.909294,67097
알뜨르비행장,제주특별자치도 서귀포시 대정읍 상모리 1670,서귀포시,33.20444355,126.2728315,66576
제주동화마을,제주특별자치도 제주시 구좌읍 비자림로 1191,제주시,33.435982,126.7315083,66311
휘닉스 제주 유민 아르누보 뮤지엄,제주특별자치도 서귀포시 성산읍 섭지코지로 107,서귀포시,33.4300919,126.9272996,66057
귤밭76번지,제주특별자치도 제주시 화북이동 5495-2,제주시,33.283054,126.365265,66045
그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 광산로 942,제주시,33.3659432,126.35644,65997
관음사,제주특별자치도 제주시 산록북로 660,제주시,33.423782,126.55818,65823
드라마월드,제주특별자치도 제주시 애월읍 화전길 3,제주시,33.352234,126.36064,65800
시크릿가든촬영지,제주특별자치도 서귀포시 중문관광로 198 (중문동),서귀포시,33.242905,126.42043,65671
제주승마공원,제주특별자치도 제주시 애월읍 녹고메길 152-1,제주시,33.4052867,126.405382,65235
제주올레 6코스,제주특별자치도 서귀포시 보목동 1377-4,서귀포시,33.23712,126.59607,65131
제주센트럴파크,제주특별자치도 제주시 조천읍 비자림로 606,제주시,33.433598,126.67473,64970
아이스뮤지엄,제주특별자치도 제주시 은수길 69,제주시,33.47011,126.487595,64913
테디베어사파리 테지움,제주특별자치도 제주시 애월읍 평화로 2159,제주시,33.4194584,126.383518,64101
논짓물,제주특별자치도 서귀포시 예래해안로 253,서귀포시,33.2367992,126.3886721,63922
민속자연사박물관,제주특별자치도 제주시 삼성로 40,제주시,33.5061399,126.5316454,63344
제주해양동물박물관,제주특별자치도 서귀포시 성산읍 서성일로 689-21,서귀포시,33.42965,126.855606,62651
모슬포항,제주특별자치도 서귀포시 대정읍 신영로36번길 48,서귀포시,33.218925,126.24864,62606
토이승마장,제주특별자치도 서귀포시 안덕면 동광로 265-14,서귀포시,33.318214,126.344894,62398
서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882,서귀포시,33.31167,126.45876,62341
서귀포유람선,제주특별자치도 서귀포시 남성중로 40,서귀포시,33.2392231,126.5586562,62020
믿거나말거나박물관 제주,제주특별자치도 서귀포시 중문관광로110번길 32,서귀포시,33.25108,126.412766,61956
가시리조랑말체험공원,제주특별자치도 서귀포시 표선면 녹산로 381-15,서귀포시,33.3831271,126.7362573,61905
노형수퍼마켙,제주특별자치도 제주시 노형로 89,제주시,33.4649309,126.4553144,61803
제주커피박물관 바움 Baum,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,서귀포시,33.4398,126.89912,61757
이상한 나라의 앨리스,제주특별자치도 서귀포시 안덕면 중산간서로 1881,서귀포시,33.2889437,126.3218702,61232
바이나흐튼 크리스마스 박물관,제주특별자치도 서귀포시 안덕면 평화로 654,서귀포시,33.308956,126.3279,61090
김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,제주시,33.5582139,126.7373381,60729
제주유리박물관,제주특별자치도 서귀포시 중산간서로 1403,서귀포시,33.278397,126.370186,60656
범섬,제주특별자치도 서귀포시 법환동,서귀포시,33.218575,126.517075,60653
제주국제공항,제주특별자치도 제주시 공항로 2,제주시,33.5063344,126.4952613,60572
교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,제주시,33.436817,126.66685,60476
한라생태숲,제주특별자치도 제주시 516로 2596,제주시,33.430924,126.595761,60073
퍼시픽 리솜 마린스테이지,제주특별자치도 서귀포시 중문관광로 154-17,서귀포시,33.2444327,126.4161942,59968
제주올레 17코스,제주특별자치도 제주시 도두1동 2612-1,제주시,33.505222,126.467964,59837
엉덩물계곡,제주특별자치도 서귀포시 중문관광로 192,서귀포시,33.2464,126.414536,59578
제주세계자연유산센터,제주특별자치도 제주시 조천읍 선흘리 478,제주시,33.500607,126.65108,58922
제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,서귀포시,33.282955,126.27152,58616
저지 예술인 마을,제주특별자치도 제주시 한경면 저지14길 28-4,제주시,33.3394612,126.2672295,58223
산방산 랜드,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32,서귀포시,33.233696,126.311775,58136
신흥2리 동백마을,제주특별자치도 서귀포시 남원읍 한신로531번길 22-1,서귀포시,33.3201238,126.7451631,57672
성산항,제주특별자치도 서귀포시 성산읍 성산등용로 129-21,서귀포시,33.4721117,126.9331983,56988
제주올레 18코스,제주특별자치도 제주시 삼양1동 1131-2,제주시,33.528675,126.596535,56983
지니어스 로사이,제주특별자치도 서귀포시 성산읍 고성리 21,서귀포시,33.429596,126.9321,56323
노루생태관찰원,제주특별자치도 제주시 명림로 520,제주시,33.4087482,126.635052,55786
세리월드 테마파크,제주특별자치도 서귀포시 법환상로2번길 97-13,서귀포시,33.247314,126.51267,55399
선운정사,제주특별자치도 제주시 애월읍 구몰동길 65,제주시,33.429344,126.307205,55275
김녕 지질트레일,제주특별자치도 제주시 구좌읍 김녕로 209,제주시,33.5562,126.76165,55102
남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,서귀포시,33.27338,126.70375,54999
사라봉,제주특별자치도 제주시 사라봉동길 61,제주시,33.51839778,126.5439168,54911
화순금모래해수욕장 담수풀장,제주특별자치도 서귀포시 안덕면 화순리 776-8,서귀포시,33.239594,126.33577,54701
우도 비양도,제주특별자치도 제주시 우도면 연평리,제주시,33.51471144,126.9674229,54443
코코몽 에코파크,제주특별자치도 서귀포시 남원읍 태위로 536,서귀포시,33.27463,126.70585,54197
천아숲길 천아계곡,제주특별자치도 제주시 애월읍 봉성리 산 1,제주시,33.355183,126.4252,53609
탑동,제주특별자치도 제주시 중앙로 2,제주시,33.518116,126.5241853,53219
화순곶자왈생태탐방숲길,제주특별자치도 서귀포시 안덕면 화순서동로 151,서귀포시,33.264614,126.33123,52827
싱계물 공원,제주 제주시 한경면 신창리 1322-1,제주시,33.343376,126.173996,52567
신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 88,서귀포시,33.4351929,126.9232266,52527
초콜릿랜드,제주특별자치도 서귀포시 중문관광로110번길 15,서귀포시,33.249115,126.41363,51764
성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650,서귀포시,33.3986187,126.7873531,51048
흑돼지거리,제주특별자치도 제주시 건입동,제주시,33.5132674,126.5511425,50404
지미봉,제주특별자치도 제주시 구좌읍 종달로1길 91-16,제주시,33.48953474,126.8779419,49867
미천굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,서귀포시,33.3835243,126.8413634,49739
삼다수숲길 지질트레일,제주특별자치도 제주시 조천읍 교래리 산 70-24,제주시,33.4180631,126.6534847,49447
화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순해안로 91,서귀포시,33.23957949,126.3338399,49395
